datetime	quake_count	magnitude	depth	latitude	longitude	lag_1_occ	lag_7_occ	lag_14_occ	has_eq
2023-07-07	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	0.0	0.0	0
2023-07-08	0.0	0.35185185185185175	-0.13783018044427764	0.6911245965546358	1.1551921814731922	-1.0	-1.0	-1.0	1
2023-07-09	1.5	0.32539682539682535	1.3634338175516216	0.15764260518326537	0.7149398480348607	0.0	-1.0	-1.0	1
2023-07-10	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	0.0	-1.0	0
2023-07-11	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	0.0	0
2023-07-12	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	-1.0	0
2023-07-13	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	0.0	-1.0	0
2023-07-14	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	0.0	0
2023-07-15	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	0.0	-1.0	0
2023-07-16	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	0.0	-1.0	0
2023-07-17	0.25	0.5370370370370369	7.580501599680806	-1.2055176332257478	-0.6686334019232221	-1.0	-1.0	0.0	1
2023-07-18	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	-1.0	-1.0	0
2023-07-19	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	-1.0	0
2023-07-20	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	0.0	0
2023-07-21	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	-1.0	0
2023-07-22	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	0.0	0
2023-07-23	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	0.0	0
2023-07-24	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	0.0	-1.0	0
2023-07-25	0.25	0.33333333333333326	0.24876494322396558	1.186325865484016	0.3416350495611663	-1.0	-1.0	-1.0	1
2023-07-26	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	-1.0	-1.0	0
2023-07-27	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	-1.0	0
2023-07-28	0.0	0.40740740740740744	3.4622626939875825	0.33146834384198354	0.8878978718633408	-1.0	-1.0	-1.0	1
2023-07-29	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	-1.0	-1.0	0
2023-07-30	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	-1.0	0
2023-07-31	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	0.0	0
2023-08-01	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	0.0	-1.0	0
2023-08-02	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	-1.0	0
2023-08-03	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	-1.0	0
2023-08-04	0.0	0.33333333333333326	24.10667978500347	-0.1931739806346225	1.0750395183302541	-1.0	0.0	-1.0	1
2023-08-05	1.25	0.4012345679012346	12.37972071937397	0.47410347666658775	0.32006132115788577	0.0	-1.0	-1.0	1
2023-08-06	0.75	0.33333333333333326	0.2375267128847725	0.971068725783414	1.2483710775664585	0.0	-1.0	-1.0	1
2023-08-07	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	-1.0	-1.0	0
2023-08-08	0.0	0.33333333333333326	-0.010604931321336681	-0.1708414548496303	0.3317679868923729	-1.0	-1.0	0.0	1
2023-08-09	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	-1.0	-1.0	0
2023-08-10	0.75	0.2731481481481481	1.9325275027415274	0.5890728450690887	0.6845373302089482	-1.0	-1.0	-1.0	1
2023-08-11	0.75	0.40740740740740744	1.134422310785132	1.2980389990609291	1.3572080567393316	0.0	0.0	0.0	1
2023-08-12	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	0.0	-1.0	0
2023-08-13	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	0.0	-1.0	0
2023-08-14	0.0	0.2962962962962962	1.2467197973443145	0.7883239557768641	0.8761837634720501	-1.0	-1.0	-1.0	1
2023-08-15	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	0.0	-1.0	0
2023-08-16	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	-1.0	0
2023-08-17	0.0	0.3148148148148148	2.0159660619579896	-0.23468880453910557	1.002725397991124	-1.0	0.0	-1.0	1
2023-08-18	0.0	0.3148148148148148	0.6771747654372821	-0.5084271746592909	-0.7133862556377629	0.0	0.0	0.0	1
2023-08-19	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	-1.0	0.0	0
2023-08-20	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	-1.0	-1.0	0.0	0
2023-08-21	0.0	0.3148148148148148	1.4037157547620234	-0.1026254527663134	-0.7591452932103927	-1.0	0.0	-1.0	1
2023-08-22	-0.25	-0.6851851851851851	-0.3074638459415322	0.0	0.0	0.0	-1.0	0.0	0
